,Unnamed: 0,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
72,72,NDXP,21441.1543,NDXP250121C19000000,2025-01-21,4,19000.0,call,0,0,2445.6838,0.0,no_change,2340.2,1,2534.0,1,0.0,0.0,0.0,2192.40002441406,0.0,0.0,0.4312,0.9991,0.0,-0.1824,0.0797,0.5206
73,73,NDXP,21441.1543,NDXP250121P19000000,2025-01-21,4,19000.0,put,46,6,0.2123,0.25,down,0.0,0,0.55,18,0.8,0.8,0.25,0.974999964237213,-0.725,-0.74359,0.394,-0.001,0.0,-0.1825,0.0796,-0.0006
74,74,NDXP,21441.1543,NDXP250121C19025000,2025-01-21,4,19025.0,call,0,0,2420.6926,0.0,no_change,2314.4,1,2508.0,1,0.0,0.0,0.0,2167.5,0.0,0.0,0.6701,0.9991,0.0,-0.1869,0.082,0.5212
75,75,NDXP,21441.1543,NDXP250121P19025000,2025-01-21,4,19025.0,put,161,0,0.2178,4.1,down,0.0,0,0.55,18,0.0,0.0,0.0,0.974999964237213,0.0,0.0,0.3901,-0.001,0.0,-0.187,0.0819,-0.0006
76,76,NDXP,21441.1543,NDXP250121C19050000,2025-01-21,4,19050.0,call,0,0,2395.7017,0.0,no_change,2295.2,1,2484.0,1,0.0,0.0,0.0,2141.85009765625,0.0,0.0,0.4267,0.999,0.0,-0.1914,0.0843,0.5204
77,77,NDXP,21441.1543,NDXP250121P19050000,2025-01-21,4,19050.0,put,11,0,0.2234,14.27,up,0.0,0,0.55,18,0.0,0.0,0.0,0.974999964237213,0.0,0.0,0.3862,-0.001,0.0,-0.1915,0.0843,-0.0006
78,78,NDXP,21441.1543,NDXP250121C19075000,2025-01-21,4,19075.0,call,3,0,2370.7107,1593.25,down,2270.2,1,2458.0,1,0.0,0.0,0.0,2117.04992675781,0.0,0.0,0.4223,0.999,0.0,-0.1962,0.0867,0.5207
79,79,NDXP,21441.1543,NDXP250121P19075000,2025-01-21,4,19075.0,put,10,0,0.2291,14.84,up,0.0,0,0.55,18,0.0,0.0,0.0,0.999999970197678,0.0,0.0,0.3823,-0.0011,0.0,-0.1961,0.0868,-0.0006
80,80,NDXP,21441.1543,NDXP250121C19100000,2025-01-21,4,19100.0,call,3,0,2345.7197,1568.74,down,2245.2,1,2434.0,1,0.0,0.0,0.0,2092.5,0.0,0.0,0.6547,0.999,0.0,-0.2007,0.0893,0.5222
81,81,NDXP,21441.1543,NDXP250121P19100000,2025-01-21,4,19100.0,put,1,0,0.2349,12.7,down,0.0,0,0.55,18,0.0,0.0,0.0,1.02500000596046,0.0,0.0,0.3784,-0.0011,0.0,-0.2008,0.0893,-0.0006
82,82,NDXP,21441.1543,NDXP250121C19125000,2025-01-21,4,19125.0,call,0,0,2320.729,0.0,no_change,2220.2,1,2408.0,1,0.0,0.0,0.0,2067.54998779297,0.0,0.0,0.5691,0.9989,0.0,-0.2055,0.0918,0.5223
83,83,NDXP,21441.1543,NDXP250121P19125000,2025-01-21,4,19125.0,put,5,0,0.2408,4.2,down,0.0,0,0.55,17,0.0,0.0,0.0,1.02500000596046,0.0,0.0,0.3744,-0.0011,0.0,-0.2055,0.0919,-0.0006
84,84,NDXP,21441.1543,NDXP250121C19150000,2025-01-21,4,19150.0,call,0,0,2295.7383,0.0,no_change,2195.3,1,2384.0,1,0.0,0.0,0.0,2042.59997558594,0.0,0.0,0.4091,0.9989,0.0,-0.2103,0.0945,0.5235
85,85,NDXP,21441.1543,NDXP250121P19150000,2025-01-21,4,19150.0,put,4,0,0.2469,11.9,down,0.0,0,0.55,17,0.0,0.0,0.0,1.02500000596046,0.0,0.0,0.3726,-0.0012,0.0,-0.2103,0.0945,-0.0007
86,86,NDXP,21441.1543,NDXP250121C19175000,2025-01-21,4,19175.0,call,0,0,2270.7478,0.0,no_change,2170.3,1,2358.0,1,0.0,0.0,0.0,2017.59997558594,0.0,0.0,0.4047,0.9989,0.0,-0.2153,0.0972,0.5234
87,87,NDXP,21441.1543,NDXP250121P19175000,2025-01-21,4,19175.0,put,15,0,0.253,12.6,up,0.0,0,0.55,10,0.0,0.0,0.0,1.07499998807907,0.0,0.0,0.3687,-0.0012,0.0,-0.2152,0.0972,-0.0007
88,88,NDXP,21441.1543,NDXP250121C19200000,2025-01-21,4,19200.0,call,0,0,2245.7573,0.0,no_change,2145.3,1,2334.0,1,0.0,0.0,0.0,1992.59997558594,0.0,0.0,0.6234,0.9988,0.0,-0.2203,0.1,0.5244
89,89,NDXP,21441.1543,NDXP250121P19200000,2025-01-21,4,19200.0,put,14,1,0.2593,0.43,down,0.0,0,0.55,10,0.43,0.43,0.43,1.07499998807907,-0.645,-0.6,0.3648,-0.0012,0.0,-0.2202,0.1,-0.0007
90,90,NDXP,21441.1543,NDXP250121C19225000,2025-01-21,4,19225.0,call,0,0,2220.7668,0.0,no_change,2126.0,1,2308.0,1,0.0,0.0,0.0,1967.65002441406,0.0,0.0,0.3959,0.9988,0.0,-0.2253,0.103,0.5265
91,91,NDXP,21441.1543,NDXP250121P19225000,2025-01-21,4,19225.0,put,13,0,0.2657,6.95,down,0.0,0,0.6,20,0.0,0.0,0.0,1.07499998807907,0.0,0.0,0.3608,-0.0013,0.0,-0.2253,0.1029,-0.0007
92,92,NDXP,21441.1543,NDXP250121C19250000,2025-01-21,4,19250.0,call,0,0,2195.7766,0.0,no_change,2101.0,1,2284.0,1,0.0,0.0,0.0,1942.70001220703,0.0,0.0,0.3916,0.9988,0.0,-0.2303,0.106,0.5273
93,93,NDXP,21441.1543,NDXP250121P19250000,2025-01-21,4,19250.0,put,5,0,0.2722,1.85,down,0.0,0,0.6,19,0.0,0.0,0.0,1.09999999403954,0.0,0.0,0.3589,-0.0013,0.0,-0.2304,0.1059,-0.0008
94,94,NDXP,21441.1543,NDXP250121C19275000,2025-01-21,4,19275.0,call,0,0,2170.7866,0.0,no_change,2075.9,1,2258.0,1,0.0,0.0,0.0,1917.70001220703,0.0,0.0,0.6121,0.9987,0.0,-0.2356,0.1089,0.5268
