,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
75,NDXP,21609.1211,NDXP250212P19125000,2025-02-12,0,19125.0,put,1,0,0.0183,8.3,down,0.0,0,0.2,18,0.0,0.0,0.0,0.200000002980232,0.0,0.0,1.4776,-0.0001,0.0,-0.0183,0.0024,0.0
76,NDXP,21609.1211,NDXP250212C19150000,2025-02-12,0,19150.0,call,0,0,2461.552,0.0,no_change,2426.0,1,2495.8,1,0.0,0.0,0.0,2553.84997558594,0.0,0.0,1.9584,0.9999,0.0,-0.0192,0.0027,0.0011
77,NDXP,21609.1211,NDXP250212P19150000,2025-02-12,0,19150.0,put,0,0,0.0193,0.0,no_change,0.0,0,0.2,18,0.0,0.0,0.0,0.225000003352761,0.0,0.0,1.4629,-0.0001,0.0,-0.0193,0.0026,0.0
78,NDXP,21609.1211,NDXP250212C19175000,2025-02-12,0,19175.0,call,0,0,2436.5532,0.0,no_change,2401.0,1,2470.8,1,0.0,0.0,0.0,2528.19995117188,0.0,0.0,1.9395,0.9999,0.0,-0.0204,0.0027,-0.0004
79,NDXP,21609.1211,NDXP250212P19175000,2025-02-12,0,19175.0,put,0,0,0.0204,0.0,no_change,0.0,0,0.2,17,0.0,0.0,0.0,0.225000003352761,0.0,0.0,1.4482,-0.0001,0.0,-0.0204,0.0027,0.0
80,NDXP,21609.1211,NDXP250212C19200000,2025-02-12,0,19200.0,call,0,0,2411.5542,0.0,no_change,2376.0,1,2445.8,1,0.0,0.0,0.0,2503.19995117188,0.0,0.0,1.9207,0.9999,0.0,-0.0214,0.003,0.0011
81,NDXP,21609.1211,NDXP250212P19200000,2025-02-12,0,19200.0,put,0,0,0.0215,0.0,no_change,0.0,0,0.2,17,0.0,0.0,0.0,0.225000003352761,0.0,0.0,1.4335,-0.0001,0.0,-0.0215,0.0028,0.0
82,NDXP,21609.1211,NDXP250212C19225000,2025-02-12,0,19225.0,call,0,0,2386.5554,0.0,no_change,2351.0,1,2420.8,1,0.0,0.0,0.0,2478.19995117188,0.0,0.0,1.9019,0.9998,0.0,-0.0226,0.0031,0.0006
83,NDXP,21609.1211,NDXP250212P19225000,2025-02-12,0,19225.0,put,0,0,0.0227,0.0,no_change,0.0,0,0.2,17,0.0,0.0,0.0,0.249999994412065,0.0,0.0,1.4188,-0.0001,0.0,-0.0227,0.003,0.0
84,NDXP,21609.1211,NDXP250212C19250000,2025-02-12,0,19250.0,call,0,0,2361.5566,0.0,no_change,2326.0,1,2395.8,1,0.0,0.0,0.0,2453.25,0.0,0.0,1.8832,0.9998,0.0,-0.0238,0.0032,0.0006
