,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
72,NDXP,22030.7148,NDXP250213C19100000,2025-02-13,1,19100.0,call,1,1,2928.5564,2854.0,up,2829.7,1,3009.6,1,2854.0,2854.0,2854.0,2603.5,250.5,0.0962166,0.0,1.0,0.0,-0.0001,0.0,-0.0009
73,NDXP,22030.7148,NDXP250213P19100000,2025-02-13,1,19100.0,put,15,0,0.0,0.7,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,NDXP,22030.7148,NDXP250213C19125000,2025-02-13,1,19125.0,call,0,0,2903.5564,0.0,no_change,2804.7,1,2984.6,1,0.0,0.0,0.0,2578.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
75,NDXP,22030.7148,NDXP250213P19125000,2025-02-13,1,19125.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,NDXP,22030.7148,NDXP250213C19150000,2025-02-13,1,19150.0,call,0,0,2878.5564,0.0,no_change,2779.7,1,2959.6,1,0.0,0.0,0.0,2553.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
77,NDXP,22030.7148,NDXP250213P19150000,2025-02-13,1,19150.0,put,2,0,0.0,15.48,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,NDXP,22030.7148,NDXP250213C19175000,2025-02-13,1,19175.0,call,0,0,2853.5564,0.0,no_change,2754.7,1,2934.6,1,0.0,0.0,0.0,2528.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
79,NDXP,22030.7148,NDXP250213P19175000,2025-02-13,1,19175.0,put,0,0,0.0,5.01,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,NDXP,22030.7148,NDXP250213C19200000,2025-02-13,1,19200.0,call,0,0,2828.5564,0.0,no_change,2729.7,1,2909.6,1,0.0,0.0,0.0,2503.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
81,NDXP,22030.7148,NDXP250213P19200000,2025-02-13,1,19200.0,put,50,3,0.0,0.2,down,0.0,0,20.0,2,0.2,0.2,0.2,0.125,0.075,0.6,0.0,0.0,0.0,0.0,0.0,0.0
82,NDXP,22030.7148,NDXP250213C19225000,2025-02-13,1,19225.0,call,0,0,2803.5564,0.0,no_change,2704.7,1,2884.6,1,0.0,0.0,0.0,2478.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
83,NDXP,22030.7148,NDXP250213P19225000,2025-02-13,1,19225.0,put,21,0,0.0,1.3,down,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,NDXP,22030.7148,NDXP250213C19250000,2025-02-13,1,19250.0,call,0,0,2778.5564,0.0,no_change,2679.7,1,2859.6,1,0.0,0.0,0.0,2453.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
85,NDXP,22030.7148,NDXP250213P19250000,2025-02-13,1,19250.0,put,5,0,0.0,0.05,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.025000000372529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,NDXP,22030.7148,NDXP250213C19275000,2025-02-13,1,19275.0,call,0,0,2753.5564,0.0,no_change,2654.7,1,2834.6,1,0.0,0.0,0.0,2428.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
87,NDXP,22030.7148,NDXP250213P19275000,2025-02-13,1,19275.0,put,21,0,0.0,1.3,down,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,NDXP,22030.7148,NDXP250213C19300000,2025-02-13,1,19300.0,call,0,0,2728.5564,0.0,no_change,2629.7,1,2809.6,1,0.0,0.0,0.0,2403.5,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
89,NDXP,22030.7148,NDXP250213P19300000,2025-02-13,1,19300.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,NDXP,22030.7148,NDXP250213C19325000,2025-02-13,1,19325.0,call,0,0,2703.5564,0.0,no_change,2604.7,1,2784.6,1,0.0,0.0,0.0,2378.55004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
91,NDXP,22030.7148,NDXP250213P19325000,2025-02-13,1,19325.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.150000005960464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,NDXP,22030.7148,NDXP250213C19350000,2025-02-13,1,19350.0,call,0,0,2678.5564,0.0,no_change,2579.7,1,2759.6,1,0.0,0.0,0.0,2353.55004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
93,NDXP,22030.7148,NDXP250213P19350000,2025-02-13,1,19350.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.150000005960464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,NDXP,22030.7148,NDXP250213C19375000,2025-02-13,1,19375.0,call,0,0,2653.5564,0.0,no_change,2554.7,1,2734.6,1,0.0,0.0,0.0,2328.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
95,NDXP,22030.7148,NDXP250213P19375000,2025-02-13,1,19375.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,NDXP,22030.7148,NDXP250213C19400000,2025-02-13,1,19400.0,call,0,0,2628.5564,0.0,no_change,2529.7,1,2709.6,1,0.0,0.0,0.0,2303.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
97,NDXP,22030.7148,NDXP250213P19400000,2025-02-13,1,19400.0,put,26,0,0.0,6.21,down,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,NDXP,22030.7148,NDXP250213C19425000,2025-02-13,1,19425.0,call,0,0,2603.5564,0.0,no_change,2504.7,1,2684.6,1,0.0,0.0,0.0,2278.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
99,NDXP,22030.7148,NDXP250213P19425000,2025-02-13,1,19425.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,NDXP,22030.7148,NDXP250213C19450000,2025-02-13,1,19450.0,call,0,0,2578.5564,0.0,no_change,2479.7,1,2659.6,1,0.0,0.0,0.0,2253.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
101,NDXP,22030.7148,NDXP250213P19450000,2025-02-13,1,19450.0,put,25,0,0.0,6.49,up,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,NDXP,22030.7148,NDXP250213C19475000,2025-02-13,1,19475.0,call,0,0,2553.5564,0.0,no_change,2454.7,1,2634.6,1,0.0,0.0,0.0,2228.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
103,NDXP,22030.7148,NDXP250213P19475000,2025-02-13,1,19475.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,NDXP,22030.7148,NDXP250213C19500000,2025-02-13,1,19500.0,call,0,0,2528.5564,0.0,no_change,2429.7,1,2609.6,1,0.0,0.0,0.0,2203.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
105,NDXP,22030.7148,NDXP250213P19500000,2025-02-13,1,19500.0,put,6,0,0.0,0.3,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,NDXP,22030.7148,NDXP250213C19525000,2025-02-13,1,19525.0,call,0,0,2503.5564,0.0,no_change,2404.7,1,2584.6,1,0.0,0.0,0.0,2178.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
107,NDXP,22030.7148,NDXP250213P19525000,2025-02-13,1,19525.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,NDXP,22030.7148,NDXP250213C19550000,2025-02-13,1,19550.0,call,0,0,2478.5564,0.0,no_change,2379.7,1,2559.6,1,0.0,0.0,0.0,2153.59997558594,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.0009
109,NDXP,22030.7148,NDXP250213P19550000,2025-02-13,1,19550.0,put,3,0,0.0,17.8,up,0.0,0,20.0,2,0.0,0.0,0.0,0.175000006332994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
